event_id,title,category,city,description,price,capacity,date
0,Entertainment Fest 2024,entertainment,Delhi,A fantastic entertainment event in Delhi.,1094.44,654,2025-09-02
1,Business Fest 2024,business,Kolkata,A fantastic business event in Kolkata.,935.09,761,2025-07-20
2,Business Fest 2024,business,Ahmedabad,A fantastic business event in Ahmedabad.,752.52,524,2025-07-29
3,Cultural Fest 2025,cultural,Hyderabad,A fantastic cultural event in Hyderabad.,326.47,871,2025-10-14
4,Spiritual Fest 2024,spiritual,Kolkata,A fantastic spiritual event in Kolkata.,1841.15,619,2025-12-10
5,Sports Fest 2024,sports,Kolkata,A fantastic sports event in Kolkata.,1388.76,635,2025-08-15
6,Spiritual Fest 2024,spiritual,Pune,A fantastic spiritual event in Pune.,447.52,878,2025-06-29
7,Education Fest 2025,education,Ahmedabad,A fantastic education event in Ahmedabad.,1525.0,973,2025-08-07
8,Entertainment Fest 2025,entertainment,Jaipur,A fantastic entertainment event in Jaipur.,1424.5,177,2025-08-12
9,Cultural Fest 2024,cultural,Bangalore,A fantastic cultural event in Bangalore.,1549.25,776,2025-10-06
10,Spiritual Fest 2025,spiritual,Pune,A fantastic spiritual event in Pune.,384.1,565,2025-08-10
11,Spiritual Fest 2025,spiritual,Pune,A fantastic spiritual event in Pune.,259.9,630,2025-10-10
12,Entertainment Fest 2025,entertainment,Ahmedabad,A fantastic entertainment event in Ahmedabad.,993.47,751,2025-07-22
13,Technology Fest 2024,technology,Ahmedabad,A fantastic technology event in Ahmedabad.,470.81,479,2025-09-13
14,Cultural Fest 2024,cultural,Delhi,A fantastic cultural event in Delhi.,782.49,51,2025-07-26
15,Education Fest 2025,education,Bangalore,A fantastic education event in Bangalore.,888.63,354,2025-10-16
16,Sports Fest 2025,sports,Mumbai,A fantastic sports event in Mumbai.,1645.18,766,2025-09-16
17,Technology Fest 2025,technology,Pune,A fantastic technology event in Pune.,1553.85,673,2025-08-30
18,Food Fest 2024,food,Chennai,A fantastic food event in Chennai.,1437.26,655,2025-11-14
19,Business Fest 2025,business,Lucknow,A fantastic business event in Lucknow.,353.9,508,2025-10-30
20,Education Fest 2025,education,Delhi,A fantastic education event in Delhi.,504.16,969,2025-11-19
21,Sports Fest 2024,sports,Mumbai,A fantastic sports event in Mumbai.,1085.62,332,2025-07-02
22,Education Fest 2024,education,Bangalore,A fantastic education event in Bangalore.,1314.74,774,2025-06-28
23,Cultural Fest 2024,cultural,Delhi,A fantastic cultural event in Delhi.,1624.62,673,2025-09-26
24,Entertainment Fest 2025,entertainment,Delhi,A fantastic entertainment event in Delhi.,1527.35,547,2025-11-22
25,Sports Fest 2025,sports,Kolkata,A fantastic sports event in Kolkata.,1398.55,181,2025-11-07
26,Technology Fest 2025,technology,Mumbai,A fantastic technology event in Mumbai.,1460.8,507,2025-11-23
27,Entertainment Fest 2024,entertainment,Chennai,A fantastic entertainment event in Chennai.,1059.95,832,2025-07-18
